Caso A;;;;;;;Con puntas atenuadas x10;;;;;
f;V/div;divisiones;A (pico);T/div;;;f;5;kHz;;;
1.0E+02;0.01;2.1;0.0210;2.00E-03;;;Amplitud max;320;mV;;;
1.0E+03;0.01;2.2;0.0220;2.00E-04;;;Amplitud min;3.2;mV;;;
1.0E+04;0.01;2.4;0.0240;2.00E-05;;;;;;;;
5.0E+04;0.01;2.4;0.0240;5.00E-06;;;;;;;;
1.0E+05;0.01;2.4;0.0240;2.00E-06;;;;;;;;
2.5E+05;0.01;2.4;0.0240;1.00E-06;;;;;;;;
5.0E+05;0.01;2.4;0.0240;5.00E-07;;;;;;;;
1.0E+06;0.01;2.4;0.0240;2.00E-07;;;4) A cte. y variando amplitud;;;;;
;;;;;;;f_gen (Hz);T/div;divisiones;T (s);f;
Caso B;;;;;;;100;2.00E-03;5.0;1.00E-02;1.00E+02;
f;V/div;divisiones;A (pico);T/div;;;500;1.00E-03;2.0;2.00E-03;5.00E+02;
1.0E+02;0.01;2.1;0.0210;2.00E-03;;;1.00E+03;2.00E-04;5.0;1.00E-03;1.00E+03;
1.0E+03;0.01;2.0;0.0200;2.00E-04;;;1.00E+04;2.00E-05;5.0;1.00E-04;1.00E+04;
1.0E+04;0.01;2.0;0.0200;2.00E-05;;;5.00E+04;5.00E-06;4.0;2.00E-05;5.00E+04;
5.0E+04;0.01;2.0;0.0200;5.00E-06;;;1.00E+05;2.00E-06;5.0;1.00E-05;1.00E+05;
1.0E+05;0.01;2.0;0.0200;2.00E-06;;;1.00E+06;2.00E-07;5.0;1.00E-06;1.00E+06;
2.5E+05;0.01;2.0;0.0200;1.00E-06;;;5.00E+06;1.00E-07;2.0;2.00E-07;5.00E+06;
5.0E+05;0.01;2.0;0.0200;5.00E-07;;;1.00E+07;1.00E-07;1.0;1.00E-07;1.00E+07;
1.0E+06;0.01;2.0;0.0200;2.00E-07;;;;;;;;
;;;;;;;;;;;;
Caso C;;;;;;;7) medicion tiempo crecimiento;;;;;
f;V/div;divisiones;A (pico);T/div;;;;T/div;divisiones;t;A;
1.0E+02;0.01;2.1;0.0210;2.00E-03;;;se�al int (2kHz);5.00E-06;0.8;4.00E-06;2 Vpp;
1.0E+03;0.01;2.1;0.0210;2.00E-04;;;se�al ext (1MHz);1.00E-08;1.5;1.50E-08;10 mVpp;
1.0E+04;0.01;2.1;0.0210;2.00E-05;;;;;;;;
5.0E+04;0.01;2.1;0.0210;5.00E-06;;;;;;;;
1.0E+05;0.01;2.1;0.0210;2.00E-06;;;;;;;;
2.5E+05;0.01;2.1;0.0210;1.00E-06;;;;;;;;
5.0E+05;0.01;2.1;0.0210;5.00E-07;;;;;;;;
1.0E+06;0.01;2.1;0.0210;2.00E-07;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;0.0005;2000;
